123001,El secreto del tiempo,Libro,Ana Rodriguez,A12,si,none
234002,La máquina del futuro,Tesis,Carlos Gomez,B05,si,none
345003,Aventuras en el espacio,Libro,Maria Perez,C08,si,none
456004,Descubriendo la historia,Tesis,Luis Martinez,D15,si,none
567005,El misterio del bosque,Articulo,Elena Sanchez,E22,si,none
678006,Ciencia para todos,Libro,Roberto Fernandez,F11,si,none
789007,Innovación en tecnología,Tesis,Laura Torres,B07,si,none
890008,El arte de la pintura,Articulo,Manuel Diaz,E14,si,none
901009,Enigmas del universo,Libro,Sofia Ramirez,C03,si,none
112010,Avances médicos,Articulo,Javier Garcia,G20,si,none
223011,Historias olvidadas,Tesis,Isabel Ramos,A19,si,none
334012,Explorando el mundo,Libro,Pablo Lopez,F08,si,none
445013,La mente humana,Tesis,Marta Martinez,B17,si,none
556014,Misterios del pasado,Libro,Carlos Rodriguez,E25,si,none
667015,Desarrollo sostenible,Articulo,Ana Gonzalez,C12,si,none
778016,Aventuras submarinas,Libro,Luisa Diaz,F03,si,none
889017,El futuro de la inteligencia,Tesis,David Fernandez,A09,si,none
900018,Poesía contemporánea,Libro,Carla Sanchez,G15,si,none
112019,Descubrimientos arqueológicos,Articulo,Andres Torres,D24,si,none
223020,La ciencia del caos,Tesis,Eva Garcia,B11,si,none
